Molecule,Adverse event,Window,k,OR [95% CI],log(OR) [95% CI],p,Stars,τ²,I²,Q,p(Q),Status
PSILOCYBIN,myalgia,session,3,"3.72 [0.69, 20.04]","1.314 [-0.371, 2.998]",0.126,,0,0,1.5870816468495321,0.452,ok
PSILOCYBIN,nasal congestion,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,nausea,session,8,"4.02 [0.90, 18.05]","1.392 [-0.110, 2.893]",0.069,,3.3182996816687176,78.87982747743459,37.93495843248868,<0.001,ok
PSILOCYBIN,oropharyngeal pain,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,pain,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,pain in extremity,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,palpitations,session,2,"0.08 [0.00, 8.94]","-2.580 [-7.350, 2.190]",0.289,,10.198148263316988,86.0006311277484,7.143179161327175,0.008,ok
PSILOCYBIN,panic reaction,session,2,"5.78 [0.66, 50.63]","1.755 [-0.414, 3.924]",0.113,,0,0,0.23839266722317767,0.625,ok
PSILOCYBIN,paresthesia,session,2,"8.55 [1.05, 69.31] *","2.146 [0.054, 4.239] *",0.044,*,0,0,0.022302357751704034,0.881,ok
PSILOCYBIN,peripheral swelling,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,photopsia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,physical pain,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,pneumonia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,psychomotor hyperactivity,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,pyrexia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,restlessness,session,2,"0.05 [0.00, 0.89] *","-3.016 [-5.911, -0.120] *",0.041,*,2.825654193483975,61.84101864327595,2.6206150280890252,0.105,ok
PSILOCYBIN,rhinorrhea,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,sedation,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,sexual abuse,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,sinus congestion,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,sinus headache,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,skin cosmetic procedure,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,sleep disorder,session,4,"1.70 [0.04, 75.97]","0.533 [-3.264, 4.330]",0.783,,13.297481016591355,88.8753042331614,29.242048873871745,<0.001,ok
PSILOCYBIN,stress,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,suicidal behavior,session,2,"3.59 [0.33, 38.65]","1.279 [-1.096, 3.654]",0.291,,0,0,0.5894618053432613,0.443,ok
PSILOCYBIN,suicidal ideation,session,6,"4.30 [1.35, 13.66] *","1.458 [0.301, 2.614] *",0.014,*,0,0,3.342566170288537,0.647,ok
PSILOCYBIN,surgery,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,tachycardia,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,temperature perception disturbances,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,testicular pain,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,thinking abnormal,session,2,"4.38 [0.42, 46.15]","1.478 [-0.876, 3.832]",0.219,,0,0,0.8455793995455667,0.358,ok
PSILOCYBIN,thrombocytosis,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,toothache,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,traumatic lung injury,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,upper respiratory tract infection,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,urinary incontinence,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,viral upper resp. tract infection,session,1,,,,,NA,NA,NA,,insufficient_k
PSILOCYBIN,vomiting,session,2,"0.16 [0.00, 18.14]","-1.858 [-6.615, 2.898]",0.444,,10.631234629942089,90.15512133167252,10.15756550882801,0.001,ok
PSILOCYBIN,withdrawal syndrome,session,2,"1.56 [0.19, 12.87]","0.442 [-1.670, 2.555]",0.682,,0,0,0.29262474921053533,0.589,ok
PSILOCYBIN,xerostomia,session,1,,,,,NA,NA,NA,,insufficient_k
